File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V10_J50_T30_R60_B10_W4_S173_N3.txt,10,50,36,4,265,263,0.75,600.21
Ins_V5_J50_T20_R60_B10_W2_S130_N0.txt,5,50,20,2,305,305,0.00,10.48
Ins_V10_J50_T10_R60_B10_W2_S155_N5.txt,10,50,13,2,85,85,0.00,6.78
Ins_V10_J150_T30_R60_B10_W1_S89_N9.txt,10,150,39,1,655,625,4.58,600.10
Ins_V10_J150_T30_R60_B10_W2_S83_N3.txt,10,150,38,2,781,597,23.56,600.09
Ins_V10_J150_T30_R60_B10_W2_S81_N1.txt,10,150,38,2,806,638,20.84,600.09
Ins_V5_J150_T20_R60_B10_W2_S48_N8.txt,5,150,26,2,1219,1212,0.57,600.26
Ins_V10_J100_T30_R60_B10_W1_S269_N9.txt,10,100,40,1,423,423,0.00,187.89
Ins_V5_J100_T10_R60_B10_W1_S215_N5.txt,5,100,13,1,361,361,0.00,39.24
Ins_V10_J150_T20_R60_B10_W1_S74_N4.txt,10,150,29,1,503,503,0.00,547.60
Ins_V2_J100_T20_R60_B10_W1_S193_N3.txt,2,100,26,1,1673,1673,0.00,115.44
Ins_V5_J100_T10_R60_B10_W2_S214_N4.txt,5,100,13,2,473,473,0.00,121.66
Ins_V5_J150_T20_R60_B10_W1_S43_N3.txt,5,150,23,1,900,900,0.00,270.21
Ins_V5_J50_T10_R60_B10_W2_S123_N3.txt,5,50,10,2,191,191,0.00,4.73
Ins_V5_J100_T30_R60_B10_W1_S235_N5.txt,5,100,34,1,808,808,0.00,80.79
Ins_V10_J100_T20_R60_B10_W2_S256_N6.txt,10,100,24,2,322,322,0.00,207.46
Ins_V10_J50_T20_R60_B10_W1_S162_N2.txt,10,50,24,1,125,125,0.00,0.72
Ins_V5_J50_T20_R60_B10_W4_S136_N6.txt,5,50,27,4,515,515,0.00,88.02
Ins_V5_J150_T30_R60_B10_W1_S58_N8.txt,5,150,36,1,1312,1312,0.00,379.96
Ins_V10_J100_T20_R60_B10_W4_S252_N2.txt,10,100,28,4,481,467,2.91,600.16
Ins_V2_J100_T20_R60_B10_W2_S197_N7.txt,2,100,25,2,1977,1977,0.00,162.39
Ins_V2_J150_T20_R60_B10_W4_S18_N8.txt,2,150,26,4,3960,3960,0.00,515.05
Ins_V2_J50_T30_R60_B10_W1_S115_N5.txt,2,50,44,1,1295,1295,0.00,12.98
Ins_V2_J100_T10_R60_B10_W1_S184_N4.txt,2,100,12,1,986,986,0.00,18.31
Ins_V5_J100_T30_R60_B10_W2_S238_N8.txt,5,100,38,2,1070,1068,0.19,600.41
Ins_V5_J100_T30_R60_B10_W1_S238_N8.txt,5,100,38,1,852,852,0.00,92.00
Ins_V10_J50_T20_R60_B10_W2_S163_N3.txt,10,50,24,2,144,144,0.00,118.64
Ins_V10_J150_T30_R60_B10_W4_S80_N0.txt,10,150,34,4,887,802,9.58,600.14
Ins_V2_J150_T30_R60_B10_W1_S27_N7.txt,2,150,38,1,3513,3513,0.00,280.96
Ins_V2_J100_T10_R60_B10_W4_S182_N2.txt,2,100,11,4,1892,1892,0.00,47.97
Ins_V10_J150_T10_R60_B10_W4_S65_N5.txt,10,150,12,4,546,489,10.44,600.23
Ins_V2_J50_T30_R60_B10_W1_S116_N6.txt,2,50,35,1,1045,1045,0.00,9.09
Ins_V5_J150_T10_R60_B10_W1_S37_N7.txt,5,150,12,1,537,537,0.00,193.37
Ins_V10_J150_T10_R60_B10_W1_S60_N0.txt,10,150,12,1,248,248,0.00,304.41
Ins_V10_J50_T10_R60_B10_W2_S157_N7.txt,10,50,12,2,94,94,0.00,7.27
Ins_V2_J150_T20_R60_B10_W2_S11_N1.txt,2,150,26,2,2958,2958,0.00,423.62
Ins_V10_J100_T30_R60_B10_W4_S262_N2.txt,10,100,34,4,591,590,0.17,600.33
Ins_V10_J100_T10_R60_B10_W2_S245_N5.txt,10,100,11,2,210,210,0.00,262.51
Ins_V10_J100_T20_R60_B10_W2_S257_N7.txt,10,100,27,2,383,376,1.83,600.19
Ins_V2_J50_T30_R60_B10_W2_S110_N0.txt,2,50,35,2,1227,1227,0.00,17.83
Ins_V5_J100_T10_R60_B10_W1_S216_N6.txt,5,100,11,1,319,319,0.00,26.88
Ins_V2_J50_T20_R60_B10_W4_S103_N3.txt,2,50,27,5,1456,1456,0.00,0.38
Ins_V5_J100_T20_R60_B10_W4_S221_N1.txt,5,100,26,5,1078,1066,1.11,600.07
Ins_V5_J100_T10_R60_B10_W2_S211_N1.txt,5,100,12,2,494,494,0.00,105.60
Ins_V10_J150_T30_R60_B10_W1_S82_N2.txt,10,150,37,1,618,608,1.62,600.11
Ins_V5_J150_T10_R60_B10_W4_S31_N1.txt,5,150,12,4,1144,1090,4.72,600.09
Ins_V10_J50_T20_R60_B10_W2_S167_N7.txt,10,50,25,2,148,145,2.03,601.04
Ins_V2_J150_T10_R60_B10_W2_S3_N3.txt,2,150,12,2,1947,1947,0.00,216.46
Ins_V5_J50_T20_R60_B10_W1_S139_N9.txt,5,50,23,1,258,258,0.00,4.50
Ins_V2_J150_T20_R60_B10_W4_S10_N0.txt,2,150,24,4,3681,3681,0.00,433.93
Ins_V10_J150_T30_R60_B10_W2_S80_N0.txt,10,150,34,2,702,534,23.93,600.10
Ins_V5_J150_T10_R60_B10_W2_S34_N4.txt,5,150,12,2,839,708,15.61,600.17
Ins_V2_J50_T10_R60_B10_W2_S99_N9.txt,2,50,11,2,583,583,0.00,2.03
Ins_V10_J150_T20_R60_B10_W1_S73_N3.txt,10,150,25,1,439,418,4.78,600.13
